yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,X2B,X3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro,payroll
1987,AL,CHA,CHW,W,5,162,81,77,85,N,NA,N,N,748,5538,1427,283,36,173,487,971,138,52,33,52,746,691,4.3,29,12,37,4343,1436,189,537,792,116,174,0.981,Chicago White Sox,Comiskey Park,1208060,103,103,CHW,CHA,CHA,10641843
1987,NL,CHN,CHC,E,6,161,80,76,85,N,NA,N,N,720,5583,1475,244,33,209,504,1064,109,48,21,30,801,726,4.55,11,5,48,4304,1524,159,628,1024,130,154,0.979,Chicago Cubs,Wrigley Field,2035130,103,104,CHC,CHN,CHN,14307999
1987,NL,CIN,CIN,W,2,162,81,84,78,N,NA,N,N,783,5560,1478,262,29,192,514,928,169,46,31,34,752,685,4.24,7,6,44,4357,1486,170,485,919,130,137,0.979,Cincinnati Reds,Riverfront Stadium,2185205,104,103,CIN,CIN,CIN,9281500
1987,AL,CLE,CLE,E,7,162,81,61,101,N,NA,N,N,742,5606,1476,267,30,187,489,977,140,54,31,42,957,835,5.28,24,8,25,4268,1566,219,606,849,153,128,0.975,Cleveland Indians,Cleveland Stadium,1077898,100,101,CLE,CLE,CLE,8513750
1987,AL,DET,DET,E,1,162,81,98,64,Y,NA,N,N,896,5649,1535,274,32,225,653,913,106,50,46,56,735,651,4.02,33,10,31,4368,1430,180,563,976,122,147,0.98,Detroit Tigers,Tiger Stadium,2061830,96,95,DET,DET,DET,12122881
1987,NL,HOU,HOU,W,3,162,81,76,86,N,NA,N,N,648,5485,1386,238,28,122,526,936,162,46,24,50,678,615,3.84,13,13,33,4324,1363,141,525,1137,116,113,0.981,Houston Astros,Astrodome,1909902,96,96,HOU,HOU,HOU,12608371
1987,AL,KCA,KCR,W,2,162,81,83,79,N,NA,N,N,715,5499,1443,239,40,168,523,1034,125,43,30,42,691,610,3.86,44,11,26,4272,1424,128,548,923,131,151,0.979,Kansas City Royals,Royals Stadium,2392471,102,102,KCR,KCA,KCA,11828056
1987,NL,LAN,LAD,W,4,162,81,73,89,N,NA,N,N,635,5517,1389,236,23,125,445,923,128,59,31,39,675,601,3.72,29,8,32,4365,1415,130,565,1097,155,144,0.975,Los Angeles Dodgers,Dodger Stadium,2797409,98,98,LAD,LAN,LAN,13675403
1987,AL,MIN,MIN,W,1,162,81,85,77,Y,NA,Y,Y,786,5441,1422,258,35,196,523,898,113,65,38,39,806,734,4.63,16,4,39,4282,1465,210,564,990,98,147,0.984,Minnesota Twins,Hubert H Humphrey Metrodome,2081976,103,103,MIN,MIN,MIN,6397500
1987,AL,ML4,MIL,E,3,162,81,91,71,N,NA,N,N,862,5625,1552,272,46,163,598,1040,176,74,32,50,817,752,4.62,28,6,45,4392,1548,169,529,1039,145,155,0.976,Milwaukee Brewers,County Stadium,1909244,103,103,MIL,MIL,MIL,7293224
